Time [s], Analyzer Name, Decoded Protocol Result
-0.000922900000000,Async Serial,0x24
-0.000834700000000,Async Serial,0x30
-0.000746400000000,Async Serial,0x30
-0.000658200000000,Async Serial,0x30
-0.000569900000000,Async Serial,0x32
-0.000481600000000,Async Serial,0x32
-0.000393400000000,Async Serial,0x31
-0.000305100000000,Async Serial,0x32
-0.000216900000000,Async Serial,0x33
-0.000128600000000,Async Serial,0x26
-0.000026100000000,Async Serial,0x24
0.000062000000000,Async Serial,0x30
0.000150100000000,Async Serial,0x30
0.000238200000000,Async Serial,0x30
0.000326300000000,Async Serial,0x32
0.000414400000000,Async Serial,0x33
0.000502600000000,Async Serial,0x33
0.000590700000000,Async Serial,0x33
0.000678800000000,Async Serial,0x35
0.000766900000000,Async Serial,0x26
4.351011400000000,Async Serial,0x24
4.351099500000000,Async Serial,0x30
4.351187700000000,Async Serial,0x30
4.351275800000000,Async Serial,0x30
4.351363900000000,Async Serial,0x36
4.351452000000000,Async Serial,0x32
4.351540100000000,Async Serial,0x31
4.351628300000000,Async Serial,0x30
4.351716400000000,Async Serial,0x30
4.351804500000000,Async Serial,0x30
4.351892600000000,Async Serial,0x30
4.351980700000000,Async Serial,0x32
4.352068900000000,Async Serial,0x36
4.352157000000000,Async Serial,0x38
4.352245100000000,Async Serial,0x39
4.352333300000000,Async Serial,0x34
4.352421400000000,Async Serial,0x32
4.352509400000000,Async Serial,0x26
