Time [s], Analyzer Name, Decoded Protocol Result
-0.185926900000000,Async Serial,0x24
-0.185838600000000,Async Serial,0x30
-0.185750400000000,Async Serial,0x30
-0.185662200000000,Async Serial,0x30
-0.185573900000000,Async Serial,0x33
-0.185485700000000,Async Serial,0x32
-0.185397500000000,Async Serial,0x36
-0.185309200000000,Async Serial,0x30
-0.185221000000000,Async Serial,0x31
-0.185132800000000,Async Serial,0x33
-0.185044600000000,Async Serial,0x30
-0.184956300000000,Async Serial,0x26
-0.000026100000000,Async Serial,0x24
0.000061900000000,Async Serial,0x30
0.000150000000000,Async Serial,0x30
0.000238000000000,Async Serial,0x30
0.000326000000000,Async Serial,0x32
0.000414000000000,Async Serial,0x33
0.000502100000000,Async Serial,0x33
0.000590100000000,Async Serial,0x33
0.000678200000000,Async Serial,0x35
0.000766200000000,Async Serial,0x26
0.000854300000000,Async Serial,0x24
0.000942300000000,Async Serial,0x30
0.001030300000000,Async Serial,0x30
0.001118400000000,Async Serial,0x30
0.001206400000000,Async Serial,0x33
0.001294400000000,Async Serial,0x32
0.001382500000000,Async Serial,0x36
0.001470500000000,Async Serial,0x33
0.001558500000000,Async Serial,0x30
0.001646600000000,Async Serial,0x35
0.001734600000000,Async Serial,0x39
0.001822600000000,Async Serial,0x26
0.235671300000000,Async Serial,0x24
0.235759600000000,Async Serial,0x30
0.235847900000000,Async Serial,0x30
0.235936100000000,Async Serial,0x30
0.236024400000000,Async Serial,0x32
0.236112700000000,Async Serial,0x32
0.236200900000000,Async Serial,0x31
0.236289200000000,Async Serial,0x32
0.236377500000000,Async Serial,0x33
0.236465800000000,Async Serial,0x26
0.236570000000000,Async Serial,0x24
0.236658100000000,Async Serial,0x30
0.236746100000000,Async Serial,0x30
0.236834200000000,Async Serial,0x30
0.236922200000000,Async Serial,0x32
0.237010300000000,Async Serial,0x33
0.237098300000000,Async Serial,0x33
0.237186400000000,Async Serial,0x33
0.237274400000000,Async Serial,0x35
0.237362500000000,Async Serial,0x26
8.676695600000000,Async Serial,0x24
8.676783600000000,Async Serial,0x30
8.676871700000000,Async Serial,0x30
8.676959800000001,Async Serial,0x30
8.677047800000000,Async Serial,0x36
8.677135900000000,Async Serial,0x32
8.677223900000000,Async Serial,0x31
8.677312000000001,Async Serial,0x30
8.677400000000000,Async Serial,0x30
8.677488100000000,Async Serial,0x30
8.677576100000000,Async Serial,0x30
8.677664200000001,Async Serial,0x30
8.677752200000000,Async Serial,0x30
8.677840300000000,Async Serial,0x31
8.677928300000000,Async Serial,0x35
8.678016299999999,Async Serial,0x34
8.678104400000000,Async Serial,0x32
8.678192400000000,Async Serial,0x26
