Time [s], Analyzer Name, Decoded Protocol Result
-0.185353500000000,Async Serial,0x24
-0.185265300000000,Async Serial,0x30
-0.185177100000000,Async Serial,0x30
-0.185088800000000,Async Serial,0x30
-0.185000600000000,Async Serial,0x33
-0.184912300000000,Async Serial,0x32
-0.184824000000000,Async Serial,0x36
-0.184735800000000,Async Serial,0x30
-0.184647500000000,Async Serial,0x31
-0.184559300000000,Async Serial,0x33
-0.184471100000000,Async Serial,0x30
-0.184382700000000,Async Serial,0x26
-0.000026100000000,Async Serial,0x24
0.000062000000000,Async Serial,0x30
0.000150000000000,Async Serial,0x30
0.000238100000000,Async Serial,0x30
0.000326200000000,Async Serial,0x32
0.000414200000000,Async Serial,0x33
0.000502300000000,Async Serial,0x33
0.000590400000000,Async Serial,0x33
0.000678400000000,Async Serial,0x35
0.000766500000000,Async Serial,0x26
0.000854500000000,Async Serial,0x24
0.000942600000000,Async Serial,0x30
0.001030700000000,Async Serial,0x30
0.001118800000000,Async Serial,0x30
0.001206800000000,Async Serial,0x33
0.001294900000000,Async Serial,0x32
0.001383000000000,Async Serial,0x36
0.001471000000000,Async Serial,0x34
0.001559100000000,Async Serial,0x30
0.001647200000000,Async Serial,0x36
0.001735300000000,Async Serial,0x39
0.001823300000000,Async Serial,0x26
0.698258500000000,Async Serial,0x24
0.698346800000000,Async Serial,0x30
0.698435100000000,Async Serial,0x30
0.698523500000000,Async Serial,0x30
0.698611700000000,Async Serial,0x32
0.698700000000000,Async Serial,0x32
0.698788300000000,Async Serial,0x31
0.698876600000000,Async Serial,0x32
0.698964800000000,Async Serial,0x33
0.699053200000000,Async Serial,0x26
0.699157000000000,Async Serial,0x24
0.699245100000000,Async Serial,0x30
0.699333200000000,Async Serial,0x30
0.699421200000000,Async Serial,0x30
0.699509300000000,Async Serial,0x32
0.699597400000000,Async Serial,0x33
0.699685500000000,Async Serial,0x33
0.699773600000000,Async Serial,0x33
0.699861600000000,Async Serial,0x35
0.699949700000000,Async Serial,0x26
4.907090600000000,Async Serial,0x24
4.907178700000000,Async Serial,0x30
4.907266800000000,Async Serial,0x30
4.907354900000000,Async Serial,0x30
4.907443000000000,Async Serial,0x36
4.907531100000000,Async Serial,0x32
4.907619200000000,Async Serial,0x31
4.907707300000000,Async Serial,0x30
4.907795400000000,Async Serial,0x30
4.907883500000000,Async Serial,0x30
4.907971600000000,Async Serial,0x30
4.908059700000000,Async Serial,0x31
4.908147800000000,Async Serial,0x33
4.908235800000000,Async Serial,0x30
4.908323900000000,Async Serial,0x30
4.908412000000000,Async Serial,0x34
4.908500100000000,Async Serial,0x30
4.908588100000000,Async Serial,0x26
