Time [s], Analyzer Name, Decoded Protocol Result
-0.000924400000000,Async Serial,0x24
-0.000836100000000,Async Serial,0x30
-0.000747900000000,Async Serial,0x30
-0.000659600000000,Async Serial,0x30
-0.000571400000000,Async Serial,0x32
-0.000483200000000,Async Serial,0x32
-0.000394900000000,Async Serial,0x31
-0.000306700000000,Async Serial,0x32
-0.000218500000000,Async Serial,0x33
-0.000130100000000,Async Serial,0x26
-0.000026100000000,Async Serial,0x24
0.000061900000000,Async Serial,0x30
0.000149900000000,Async Serial,0x30
0.000238000000000,Async Serial,0x30
0.000326000000000,Async Serial,0x32
0.000414000000000,Async Serial,0x33
0.000502000000000,Async Serial,0x33
0.000590000000000,Async Serial,0x33
0.000678100000000,Async Serial,0x35
0.000766100000000,Async Serial,0x26
0.802161700000000,Async Serial,0x24
0.802249900000000,Async Serial,0x30
0.802338200000000,Async Serial,0x30
0.802426400000000,Async Serial,0x30
0.802514600000000,Async Serial,0x32
0.802602900000000,Async Serial,0x32
0.802691100000000,Async Serial,0x31
0.802779300000000,Async Serial,0x32
0.802867600000000,Async Serial,0x33
0.802955900000000,Async Serial,0x26
5.730538000000000,Async Serial,0x24
5.730626200000000,Async Serial,0x30
5.730714400000000,Async Serial,0x30
5.730802500000000,Async Serial,0x30
5.730890700000000,Async Serial,0x33
5.730978900000000,Async Serial,0x32
5.731067100000000,Async Serial,0x36
5.731155300000000,Async Serial,0x30
5.731243500000000,Async Serial,0x30
5.731331600000000,Async Serial,0x32
5.731419800000000,Async Serial,0x39
5.731508100000000,Async Serial,0x26
8.580811100000000,Async Serial,0x24
8.580899199999999,Async Serial,0x30
8.580987199999999,Async Serial,0x30
8.581075200000001,Async Serial,0x30
8.581163200000001,Async Serial,0x36
8.581251300000000,Async Serial,0x32
8.581339300000000,Async Serial,0x31
8.581427300000000,Async Serial,0x30
8.581515400000001,Async Serial,0x30
8.581603400000001,Async Serial,0x30
8.581691400000000,Async Serial,0x30
8.581779500000000,Async Serial,0x30
8.581867500000000,Async Serial,0x30
8.581955499999999,Async Serial,0x31
8.582043499999999,Async Serial,0x36
8.582131499999999,Async Serial,0x34
8.582219500000001,Async Serial,0x33
8.582307500000001,Async Serial,0x26
